Course Code,Name,Req,Note,Seats Open,Status,Faculty / Schedule,Credits,Begin Date,End Date
AHSE0112-01,The Olin Conductorless Orchestra,,,17/26,Open,"Dabby, Diana / T 07:30-09:00PM; MAIN Campus, Academic Center, AC318-Classroom
Dabby, Diana / R 06:30-08:00PM; MAIN Campus, Academic Center, AC318-Classroom",1,01/22/2020,05/01/2020
AHSE1515-01,Products and Markets,,,3/90,Open,"Chachra, Debbie / MR 01:30-04:10PM; MAIN Campus, Milas Hall, MH120-Auditorium
Lynch, Caitrin / MR 01:30-04:10PM; MAIN Campus, Milas Hall, MH120-Auditorium
Pratt, Joanne / MR 01:30-04:10PM; MAIN Campus, Milas Hall, MH120-Auditorium
Woodard, Charles Jason / MR 01:30-04:10PM; MAIN Campus, Milas Hall, MH120-Auditorium
Chachra, Debbie / MR 01:30-04:10PM; MAIN Campus, Academic Center, AC318-Classroom
Chachra, Debbie / MR 01:30-04:10PM; MAIN Campus, Academic Center, AC326-Classroom
Chachra, Debbie / MR 01:30-04:10PM; MAIN Campus, Academic Center, AC328-Classroom",4,01/22/2020,05/01/2020
AHSE2131-01,Responsive Drawing and Visual Thinking,,,0/12,Waitlist(12),"Donis-Keller, Helen / TF 10:50AM-12:30PM; MAIN Campus, Academic Center, AC313-Art",4,01/22/2020,05/01/2020
AHSE2150-01,Six Microbes that Changed the World with Laboratory,,,0/36,Waitlist(4),"Martello, Robert / TF 09:00AM-12:30PM; MAIN Campus, Academic Center, AC417-Classroom
Huang, Jean / TF 09:00AM-12:30PM; MAIN Campus, Academic Center, AC406-Biology Lab",4,01/22/2020,05/01/2020
AHSE2199-01,"Special Topics in Arts, Humanities and Social Science : Change the World:Personal Values",,,6/30,Open,"Martello, Robert / TF 01:30-03:10PM; MAIN Campus, Academic Center, AC417-Classroom
Wood, Alison / TF 01:30-03:10PM; MAIN Campus, Academic Center, AC417-Classroom",4,01/22/2020,05/01/2020
AHSE2199A-01,"Special Topics in Arts, Humanities and Social Science : Identity from Mind and Brain,Adv",,,5/25,Open,"Adler, Jonathan / MR 01:30-03:10PM; MAIN Campus, Academic Center, AC128-ProjLab Multi Medi",4,01/22/2020,05/01/2020
AHSE2515-01,Iterate,,,0/18,Closed,"Zamir, Lee / T 03:20-06:00PM; MAIN Campus, Academic Center, AC318-Classroom",2,01/22/2020,03/10/2020
AHSE2515A-01,Iterate,,,5/18,Open,"Zamir, Lee / T 03:20-06:00PM; MAIN Campus, Academic Center, AC318-Classroom",2,03/12/2020,05/01/2020
AHSE2599-01,Special Topics in Business and Entrepreneurship : Environmental Consulting at Olin,,,4/17,Reopened,"Lynch, Caitrin / T 10:50AM-12:30PM; MAIN Campus, Academic Center, AC213-Design Studio
Nugent, Carolyn / T 10:50AM-12:30PM; MAIN Campus, Academic Center, AC213-Design Studio
Lynch, Caitrin / F 09:00AM-12:30PM; MAIN Campus, Academic Center, AC213-Design Studio
Nugent, Carolyn / F 09:00AM-12:30PM; MAIN Campus, Academic Center, AC213-Design Studio",4,01/22/2020,05/01/2020
AHSE3190-01,Arts Humanities Social Sciences Capstone Preparatory Workshop,,,50/50,Open,"Epstein, Gillian / 00:00-00:00AM; Campus, Building",1,01/22/2020,05/01/2020
AHSE4190-01,Arts Humanities Social Sciences Capstone Project,,,15/30,Open,"Epstein, Gillian / M 09:00AM-12:30PM; MAIN Campus, Milas Hall, Library",4,01/22/2020,05/01/2020
AWAY1000-01,Study Away Program,,,7/25,Open,"Staff / 00:00-00:00AM; MAIN Campus, Olin Campus",12,01/22/2020,05/01/2020
ENGR1330-01,Fundamentals of Machine Shop Operations,,,0/6,Waitlist(3),"Andruskiewicz, Bruce / W 01:00-05:00PM; MAIN Campus, Academic Center, AC104-Machine Shop",4,01/22/2020,05/01/2020
ENGR2199-01,Special Topics in Engineering : Engineering Systems Analysis,,,-4/48,Closed,"Dabby, Diana / TF 10:50AM-12:30PM; MAIN Campus, Academic Center, AC328-Classroom
Govindasamy, Siddhartan / TF 10:50AM-12:30PM; MAIN Campus, Academic Center, AC328-Classroom
Lee, Christopher / TF 10:50AM-12:30PM; MAIN Campus, Academic Center, AC328-Classroom",2,01/22/2020,03/10/2020
ENGR2199A-01,Special Topics in Engineering : Eng Sys Analysis: Dynamics,,,13/48,Open,"Dabby, Diana / TF 10:50AM-12:30PM; MAIN Campus, Academic Center, AC328-Classroom
Govindasamy, Siddhartan / TF 10:50AM-12:30PM; MAIN Campus, Academic Center, AC328-Classroom
Lee, Christopher / TF 10:50AM-12:30PM; MAIN Campus, Academic Center, AC328-Classroom",2,03/12/2020,05/01/2020
ENGR2199B-01,Special Topics in Engineering : Eng Sys Analysis: Signals,,,11/32,Open,"Dabby, Diana / TF 01:30-03:10PM; MAIN Campus, Academic Center, AC304-Classroom/ECE Lab
Govindasamy, Siddhartan / TF 01:30-03:10PM; MAIN Campus, Academic Center, AC304-Classroom/ECE Lab
Lee, Christopher / TF 01:30-03:10PM; MAIN Campus, Academic Center, AC304-Classroom/ECE Lab",2,03/12/2020,05/01/2020
ENGR2250-01,User-Oriented Collaborative Design,,,0/32,Closed,"Adler, Jonathan / MR 09:50AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Bloomer, Sarah / MR 09:50AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Hendren, Sara / MR 09:50AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Sauder, Tim Ferguson / MR 09:50AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Wood, Alison / MR 09:50AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Zastavker, Yevgeniya / MR 09:50AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Adler, Jonathan / MR 09:50AM-12:30PM; MAIN Campus, Academic Center, AC204-Design Studio",4,01/22/2020,05/01/2020
ENGR2250-02,User-Oriented Collaborative Design,,,0/32,Closed,"Adler, Jonathan / MR 09:30AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Hendren, Sara / MR 09:30AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Bloomer, Sarah / MR 09:30AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Sauder, Tim Ferguson / MR 09:30AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Wood, Alison / MR 09:30AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Zastavker, Yevgeniya / MR 09:30AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Adler, Jonathan / MR 09:30AM-12:30PM; MAIN Campus, Academic Center, AC206-Design Studio",4,01/22/2020,05/01/2020
ENGR2250-03,User-Oriented Collaborative Design,,,1/32,Open,"Adler, Jonathan / MR 09:30AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Bloomer, Sarah / MR 09:30AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Hendren, Sara / MR 09:30AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Sauder, Tim Ferguson / MR 09:30AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Wood, Alison / MR 09:30AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Zastavker, Yevgeniya / MR 09:30AM-12:30PM; MAIN Campus, Milas Hall, MH120-Auditorium
Adler, Jonathan / MR 09:30AM-12:30PM; MAIN Campus, Academic Center, AC209-Design Studio",4,01/22/2020,05/01/2020
ENGR2320-01,Mechanics of Solids & Structures,,,7/36,Open,"Tow, Emily / TF 09:00-10:40AM; MAIN Campus, Academic Center, AC328-Classroom
Tow, Emily / W 09:00-10:00AM; MAIN Campus, Academic Center, AC328-Classroom",4,01/22/2020,05/01/2020
ENGR2330-01,Introduction to Mechanical Prototyping,,,0/38,Waitlist(3),"Faas, Daniela / TF 01:30-03:10PM; MAIN Campus, Academic Center, AC128-ProjLab Multi Medi",4,01/22/2020,05/01/2020
ENGR2350-01,Thermodynamics,,,0/32,Waitlist(6),"Ferzoco, Alessandra / TF 01:30-03:10PM; MAIN Campus, Academic Center, AC309-Classroom",4,01/22/2020,05/01/2020
ENGR2420-01,Intro Microelectronic Circuits with laboratory,,,1/28,Open,"Minch, Bradley / TF 09:00-10:40AM; MAIN Campus, Academic Center, AC309-Classroom
Minch, Bradley / W 01:00-02:30PM; MAIN Campus, Academic Center, AC309-Classroom",4,01/22/2020,05/01/2020
ENGR2510-01,Software Design,,,0/54,Waitlist(5),"Millner, Amon / TF 10:50AM-12:30PM; MAIN Campus, Academic Center, AC318-Classroom
Graeff, Erhardt / TF 10:50AM-12:30PM; MAIN Campus, Academic Center, AC318-Classroom
Matsumoto, Stephanos / TF 10:50AM-12:30PM; MAIN Campus, Academic Center, AC318-Classroom
Millner, Amon / TF 10:50AM-12:30PM; MAIN Campus, Academic Center, AC326-Classroom",4,01/22/2020,05/01/2020
ENGR3110-01,Elecanisms,,,12/25,Open,"Hoover, Aaron / M 03:20-05:00PM; MAIN Campus, Academic Center, AC306-Lab/ClassRm-Bnchs
Minch, Bradley / M 03:20-05:00PM; MAIN Campus, Academic Center, AC306-Lab/ClassRm-Bnchs
Hoover, Aaron / R 03:20-06:00PM; MAIN Campus, Academic Center, AC306-Lab/ClassRm-Bnchs",4,01/22/2020,05/01/2020
ENGR3199-01,Special Topics in Engineering : Satel Sys & Consulting Bus Prac,,,13/21,Open,"Lohmeyer, Whitney / W 03:20-06:00PM; MAIN Campus, Academic Center, AC318-Classroom",4,01/22/2020,05/01/2020
ENGR3235-01,Biomimicry,,,0/12,Open,"Huang, Jean / MR 10:50AM-12:30PM; MAIN Campus, Academic Center, AC213-Design Studio
Linder, Benjamin / MR 10:50AM-12:30PM; MAIN Campus, Academic Center, AC213-Design Studio",4,01/22/2020,05/01/2020
ENGR3290-01,Affordable Design and Entrepreneurship,,,2/12,Waitlist(3),"Linder, Benjamin / T 03:30-06:30PM; MAIN Campus, Babson College Campus, Weissman Foundry
Graeff, Erhardt / T 03:30-06:30PM; MAIN Campus, Babson College Campus, Weissman Foundry
Hersey, Scott Oakley / T 03:30-06:30PM; MAIN Campus, Babson College Campus, Weissman Foundry
Taha, Kofi / T 03:30-06:30PM; MAIN Campus, Babson College Campus, Weissman Foundry
Johansen, Elizabeth / T 03:30-06:30PM; MAIN Campus, Babson College Campus, Weissman Foundry
Linder, Benjamin / R 03:30-05:30PM; MAIN Campus, Babson College Campus, Weissman Foundry
Hersey, Scott Oakley / R 03:30-05:30PM; MAIN Campus, Babson College Campus, Weissman Foundry
Graeff, Erhardt / R 03:30-05:30PM; MAIN Campus, Babson College Campus, Weissman Foundry
Taha, Kofi / R 03:30-05:30PM; MAIN Campus, Babson College Campus, Weissman Foundry
Johansen, Elizabeth / R 03:30-05:30PM; MAIN Campus, Babson College Campus, Weissman Foundry",4,01/22/2020,05/01/2020
ENGR3299-01,Special Topics in Design Engineering : Environmental Consulting at Olin,,,1/11,Reopened,"Lynch, Caitrin / T 10:50AM-12:30PM; MAIN Campus, Academic Center, AC213-Design Studio
Nugent, Carolyn / T 10:50AM-12:30PM; MAIN Campus, Academic Center, AC213-Design Studio
Lynch, Caitrin / F 09:00AM-12:30PM; MAIN Campus, Academic Center, AC213-Design Studio
Nugent, Carolyn / F 09:00AM-12:30PM; MAIN Campus, Academic Center, AC213-Design Studio",4,01/22/2020,05/01/2020
ENGR3370-01,Controls,,,-6/24,Closed,"Barragan, Patrick / T 07:00-10:00PM; MAIN Campus, Academic Center, AC304-Classroom/ECE Lab",4,01/22/2020,05/01/2020
ENGR3390-01,Fundamentals of Robotics,,,1/30,Reopened,"Barrett, David / TF 09:00-10:40AM; MAIN Campus, Academic Center, AC109-Classroom",4,01/22/2020,05/01/2020
ENGR3392-01,Robotics Systems Integration,,,24/30,Open,"Barrett, David / TF 01:30-03:10PM; MAIN Campus, Academic Center, AC109-Classroom
Dusek, Jeff / TF 01:30-03:10PM; MAIN Campus, Academic Center, AC109-Classroom",4,01/22/2020,05/01/2020
ENGR3499-01,Special Topics in Electrical & Computer Engineering : Digital Power Conversion,,,2/24,Open,"Staff / T 03:20-06:00PM; MAIN Campus, Academic Center, AC304-Classroom/ECE Lab",4,01/22/2020,05/01/2020
ENGR3525-01,Software Systems,,,0/40,Closed,"Downey, Allen / TF 01:30-03:10PM; MAIN Campus, Academic Center, AC326-Classroom",4,01/22/2020,05/01/2020
ENGR3531-01,Data Science,,,0/25,Closed,"Downey, Allen / MR 01:30-03:10PM; MAIN Campus, Academic Center, AC417-Classroom",2,01/22/2020,05/01/2020
ENGR3599-01,Special Topics in Computing : Programming Languages,,,23/30,Open,"Pucella, Riccardo / R 01:30-04:00PM; MAIN Campus, Academic Center, AC304-Classroom/ECE Lab",4,01/22/2020,05/01/2020
ENGR3599A-01,Special Topics in Computing : Data Structures and Algorithms,,,0/25,Waitlist(8),"Paul, Alice / MR 01:30-03:10PM; MAIN Campus, Academic Center, AC309-Classroom",4,01/22/2020,05/01/2020
ENGR3599B-SL,Special Topics in Computing : Advanced Algorithms,,,9/24,Open,"Paul, Alice / TF 01:30-03:10PM; MAIN Campus, Academic Center, AC318-Classroom",4,01/22/2020,05/01/2020
ENGR3635-01,"Neurotechnology, Brains and Machines",,,0/28,Waitlist(5),"Michalka, Samantha / 00:00-00:00AM; MAIN Campus, Olin Campus",2,01/22/2020,05/01/2020
ENGR4190-01,SCOPE: Senior Capstone Program in Engineering,,,0/4,Closed,"Ferzoco, Alessandra / W 09:00AM-06:00PM; MAIN Campus, Olin Campus",4,01/22/2020,05/01/2020
ENGR4190-02,SCOPE: Senior Capstone Program in Engineering,,,0/5,Closed,"Ferzoco, Alessandra / W 09:00AM-06:00PM; MAIN Campus, Olin Campus",4,01/22/2020,05/01/2020
ENGR4190-03,SCOPE: Senior Capstone Program in Engineering,,,0/5,Closed,"Sarang-Sieminski, Alisha / W 09:00AM-06:00PM; MAIN Campus, Olin Campus",4,01/22/2020,05/01/2020
ENGR4190-04,SCOPE: Senior Capstone Program in Engineering,,,0/5,Closed,"Sarang-Sieminski, Alisha / W 09:00AM-06:00PM; MAIN Campus, Olin Campus",4,01/22/2020,05/01/2020
ENGR4190-05,SCOPE: Senior Capstone Program in Engineering,,,0/4,Closed,"Stein, Lynn Andrea / W 09:00AM-06:00PM; MAIN Campus, Olin Campus",4,01/22/2020,05/01/2020
ENGR4190-06,SCOPE: Senior Capstone Program in Engineering,,,0/5,Closed,"Sarang-Sieminski, Alisha / W 09:00AM-06:00PM; MAIN Campus, Olin Campus",4,01/22/2020,05/01/2020
ENGR4190-07,SCOPE: Senior Capstone Program in Engineering,,,0/5,Closed,"Sarang-Sieminski, Alisha / W 09:00AM-06:00PM; MAIN Campus, Olin Campus",4,01/22/2020,05/01/2020
ENGR4190-08,SCOPE: Senior Capstone Program in Engineering,,,0/5,Closed,"Stein, Lynn Andrea / W 09:00AM-06:00PM; MAIN Campus, Olin Campus",4,01/22/2020,05/01/2020
ENGR4190-09,SCOPE: Senior Capstone Program in Engineering,,,0/4,Closed,"Ferzoco, Alessandra / W 09:00AM-06:00PM; MAIN Campus, Olin Campus",4,01/22/2020,05/01/2020
ENGR4190-10,SCOPE: Senior Capstone Program in Engineering,,,0/4,Closed,"Stein, Lynn Andrea / W 09:00AM-06:00PM; MAIN Campus, Olin Campus",4,01/22/2020,05/01/2020
ENGR4190-11,SCOPE: Senior Capstone Program in Engineering,,,0/5,Closed,"Hersey, Scott Oakley / W 09:00AM-06:00PM; MAIN Campus, Olin Campus",4,01/22/2020,05/01/2020
ENGR4190-12,SCOPE: Senior Capstone Program in Engineering,,,0/5,Closed,"Ferzoco, Alessandra / W 09:00AM-06:00PM; MAIN Campus, Olin Campus",4,01/22/2020,05/01/2020
ENGR4190-13,SCOPE: Senior Capstone Program in Engineering,,,0/4,Closed,"Stein, Lynn Andrea / W 09:00AM-06:00PM; MAIN Campus, Olin Campus",4,01/22/2020,05/01/2020
ENGR4190-14,SCOPE: Senior Capstone Program in Engineering,,,0/4,Closed,"Hersey, Scott Oakley / W 09:00AM-06:00PM; MAIN Campus, Olin Campus",4,01/22/2020,05/01/2020
ENGR4290-01,Affordable Design and Entrepreneurship Engineering Capstone,,,-8/11,Waitlist(1),"Linder, Benjamin / T 03:30-06:30PM; MAIN Campus, Babson College Campus, Weissman Foundry
Linder, Benjamin / R 03:30-05:30PM; MAIN Campus, Babson College Campus, Weissman Foundry",4,01/22/2020,05/01/2020
ENGX2000-01,Quantitative Engineering Analysis 1a,,,5/90,Open,"Geddes, John B. / MR 09:00AM-12:30PM; MAIN Campus, Academic Center, AC109-Classroom
Houston-Edwards, Kelsey / MR 09:00AM-12:30PM; MAIN Campus, Academic Center, AC109-Classroom
Ruvolo, Paul / MR 09:00AM-12:30PM; MAIN Campus, Academic Center, AC109-Classroom
Somerville, Mark / MR 09:00AM-12:30PM; MAIN Campus, Academic Center, AC109-Classroom
Vanasupa, Linda / MR 09:00AM-12:30PM; MAIN Campus, Academic Center, AC109-Classroom
Geddes, John B. / MR 09:00AM-12:30PM; MAIN Campus, Academic Center, AC113-Classroom
Geddes, John B. / MR 09:00AM-12:30PM; MAIN Campus, Academic Center, AC128-ProjLab Multi Medi",4,01/22/2020,03/10/2020
ENGX2001-01,Quantitative Engineering Analysis 1b,,,5/90,Open,"Dusek, Jeff / MR 09:00AM-12:30PM; MAIN Campus, Academic Center, AC109-Classroom
Geddes, John B. / MR 09:00AM-12:30PM; MAIN Campus, Academic Center, AC109-Classroom
Ruvolo, Paul / MR 09:00AM-12:30PM; MAIN Campus, Academic Center, AC109-Classroom
Somerville, Mark / MR 09:00AM-12:30PM; MAIN Campus, Academic Center, AC109-Classroom
Vanasupa, Linda / MR 09:00AM-12:30PM; MAIN Campus, Academic Center, AC109-Classroom
Geddes, John B. / MR 09:00AM-12:30PM; MAIN Campus, Academic Center, AC113-Classroom
Geddes, John B. / MR 09:00AM-12:30PM; MAIN Campus, Academic Center, AC128-ProjLab Multi Medi",4,03/12/2020,05/01/2020
MTH2131-01,Data Science,,,0/25,Closed,"Downey, Allen / 00:00-00:00AM; MAIN Campus, Olin Campus",2,01/22/2020,05/01/2020
MTH2135-01,"Neurotechnology, Brains and Machines",,,0/28,Waitlist(5),"Michalka, Samantha / W 03:20-06:00PM; MAIN Campus, Academic Center, AC428-ModControlDedicate",2,01/22/2020,05/01/2020
MTH3120-01,Partial Differential Equations,,,0/30,Waitlist(6),"Houston-Edwards, Kelsey / MR 01:30-03:10PM; MAIN Campus, Academic Center, AC109-Classroom",4,01/22/2020,05/01/2020
