CourseNumber,CourseName,Usual Semester,Genus
A_E_M_S2097,"AHSE, ENGR, MTH, SCI 2097: Cross-disciplinary Research Methods",Either,ELECTIVE
ADV MATH_Wildcard,ADV MATH_Wildcard,Either,ADV MATH
AHS_Wildcard,AHS_Wildcard,Either,AHS Fnd
AHSE0112,AHSE0112: The Olin Conductorless Orchestra,Both,AHS
AHSE1100,AHSE1100: History of Technology: A Cultural & Contextual Approach,Fall,AHS Fnd
AHSE1122,"AHSE1122: The Wired Ensemble -Instruments, Voices, Players",Fall,AHS Fnd
AHSE1135,"AHSE1135: The Digital Eye: Photography, Vision, and Visual Communication",Fall,AHS Fnd
AHSE1145,AHSE1145: The Human Connection: Tools and Concepts from Anthropology for Understanding Today's World,Fall,AHS Fnd
AHSE1148,AHSE1148: Dirt to Shirt: Global Garments in Context,Fall,AHS Fnd
AHSE1150,AHSE1150: What is 'I'?,Fall,AHS Fnd
AHSE1155,AHSE1155: Identity from the Mind & the Brain: Who Am I and How Do I Know,Fall,AHS Fnd
AHSE1515,AHSE1515: Products and Markets,Spring,ENTRP Fnd
AHSE2131,AHSE2131: Responsive Drawing and Visual Thinking,Fall,AHS
AHSE2141_ENGR2141,AHSE2141_ENGR2141: Engineering for Humanity,Spring,AHS
AHSE2150_SCI1250,AHSE2150_SCI1250: Six Microbes that Changed the World with Laboratory,Spring,AHS
AHSE2150_SCI1250,AHSE2150_SCI1250: Six Microbes that Changed the World with Laboratory,Spring,BIO
AHSE2155,AHSE2155: Constructing and Performing the Self,Spring,AHS
AHSE2170,AHSE2170: Teaching and Learning in Undergraduate Science and Engineering,Fall,AHS
AHSE2180,AHSE2180: Narrative Psychology,Spring,AHS
AHSE2515,AHSE2515: Iterate,Fall,ENTRP
AHSE2515,AHSE2515: Iterate,Spring,ENTRP
AHSE3130,AHSE3130: Advanced Digital Photography,Spring,AHS
AHSE3515,AHSE3515: Launch,Spring,ENTRP
BIO_Wildcard,New Course,Either,BIO
CORE_E:C_Wildcard,CORE_E:C_Wildcard,Either,Core E:C
CORE_E:ROBO_Wildcard,CORE_E:ROBO_Wildcard,Either,Core E:Robo
DESIGN_Wildcard,ENGR3899: Educational Design Studio,Either,DESIGN Dpth
DESIGN_Wildcard,DESIGN_Wildcard,Either,DESIGN Dpth
ECE_Wildcard,ECE_Wildcard,Either,ECE Elective
ELECTIVE_Wildcard,ELECTIVE_Wildcard,Either,ELECTIVE
ENGR1125,"ENGR1125: Introduction to Sensors, Instrumentation and Measurement",Fall,QE Fnd
ENGR1200,ENGR1200: Design Nature,Fall,DESIGN Fnd
ENGR2110,ENGR2110: Principles of Engineering,Fall,QE Fnd
ENGR2160,ENGR2160: DREAM Designing Resources for Empowerment,Spring,ELECTIVE
ENGR2250,ENGR2250: User-Oriented Collaborative Design,Spring,DESIGN Fnd
ENGR2320,ENGR2320: Mechanics of Solids & Structures,Fall,Core ME
ENGR2330,ENGR2330: Introduction to Mechanical Prototyping,Spring,ELECTIVE
ENGR2340,ENGR2XXXA: Engineering Systems Analysis: Dynamics,Spring,QE Fnd
ENGR2350,ENGR2350: Thermodynamics,Fall,Core ME
ENGR2410,ENGR2XXXB: Engineering Systems Analysis: Signals,Spring,QE Fnd
ENGR2420,ENGR2420: Intro Microelectronic Circuits with laboratory,Spring,Core ECE
ENGR2510,ENGR2510: Software Design,Fall,Core E:C
ENGR2510,ENGR2510: Software Design,Spring,Core E:C
ENGR2600,ENGR2600: Topics in Bioengineering,Spring,E:Bio
ENGR3110,ENGR3110: Elecanisms,Spring,ECE Elective
ENGR3210,ENGR3210: Sustainable Design,Spring,DESIGN Dpth
