subjectcode,subjectname,coursename,coursenumber,coursedescription,corequisitenarrative,prerequisitenarrative,credits,instructor,offered,distribution,crosslistedcoursenarrative,concurrentrequisites,recommendedrequisites,hours
ADMN,Olin Administration,Olin Internship Practicum I,OIP1000,"Internships during the summer can be integral to a student?s major. This course provides an opportunity for the student to develop career-related competencies and reflections based on their full or part-time summer internship experience.  OIP1000 also focuses on the connections of an internship experience with major coursework, thus enhancing student learning in their academic major. OIP1000 class meetings include a departure meeting in the spring before the summer internship, check-ins during the summer, and follow-up workshops in the fall.  OIP1000 is offered each fall semester.<br /><br /><br /><br />Please Note:  International students must have authorization from the Principal Designated School Official or Designated School Official (PSDO/DSO) before they start their internship.",,,1 ADMN,,,,,,PGP Workshops,0-0-15
ADMN,Olin Administration,Olin Internship Practicum II,OIP1001,"Internships during the school year can be integral to a student?s major.  This course provides an opportunity for the student to develop career-related competencies and reflections based on their part-time fall or spring semester internship experience.   OIP1001 also focuses on the connections of an internship experience with major coursework, thus enhancing student learning in their academic major. OIP1001 is offered each fall and spring semester and must be taken concurrently with their part-time internship.  <br /><br /><br /><br />Please Note:  International students must have authorization from the Principal Designated School Official or Designated School Official (PSDO/DSO) before they start their internship.<br /><br />",,,1 ADMN,,,,,,,
AHSE,Arts Hum Soc Sci Entrepr,The Olin Conductorless Orchestra,AHSE0112,"The Olin Conductorless Orchestra (OCO) - an ensemble, minus conductor - features instrumentalists in leadership and collaborative roles. Dedicated to orchestral performance in the concerted spirit of chamber music, the orchestra forges individual participation, active listening,and group-motivation into performances that have established it as the only conductorless orchestra of its kind at an American college. (A student can apply up to 4 OCO credits to the 28 required credits in AHSE, or can petition to apply up to 4 OCO credits to the AHS concentration. Any additional credits, i.e., more than 4, earned by a student enrolling in OCO will show up as additional AHS credits, but will not count toward satisfying the requisite 28 credits in AHSE.)<br /><br />",,,1 AHSE,,,,,,Audition,2-0-1
AHSE,Arts Hum Soc Sci Entrepr,History of Technology: A Cultural & Contextual Approach,AHSE1100,"Throughout this semester we will use different history of technology narratives to explore larger themes.  Our narrative case studies will range from bronze age societal studies to cutting edge computing and Internet technologies, and throughout the semester we will compare and contrast these narratives in search of larger trends.  We will also identify and investigate broader issues such as large technological systems; paradigms and scientific revolutions; technologies and political values; ethical theories; and the environmental and sustainability implications of technologies.  Throughout the semester we will engage these narratives and broader issues through targeted writing activities, debates, individual and group presentations, at least one field trip, movie and media studies, and numerous in-class discussions.  Students will have a high degree of autonomy, and will set and evaluate their own learning objectives, determine the topic for final projects, and design and facilitate in-class activities throughout the semester.<br /><br />",,,4 AHSE,,,,,,,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,"The Wired Ensemble -Instruments, Voices, Players",AHSE1122,"Three concurrent streams comprise The Wired Ensemble: 1) composition and performance of original works for instruments and voices; 2) development of a ""Composer's Tool Chest""; and 3) musical analysis and reflection. As composers and performers, students concentrate on instruments, voices, and the symbolic language that brings them to life. They compose music for every family of instruments (woodwinds, brass, strings, percussion), as well as voice and spoken word. The course features biweekly performances of original compositions. Students also have the opportunity to hear their works performed in concert settings by professional and peer musicians with whom they have collaborated. Seminar trips to Boston and New York enable the class to gather musical and inspirational material,in addition to hearing some of the finest orchestral and vocal ensembles in concert. While actively engaged in composition and performance-all geared to an end-of-term production-students examine the worlds of earlier composers in order to provide context for their own lives and work.<br /><br />",,,4 AHSE,,,,,,Ability to read music.,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,"The Digital Eye: Photography, Vision, and Visual Communication",AHSE1135,"This course is all about developing a creative voice in the visual arts using digital photography as the medium of choice. The Digital Eye is a hands-on course taught in studio mode and it is project-based with weekly homework assignments that also includes several major projects allowing longer-term project engagement. Digital single-lens reflex (DSLR) cameras, digital editing tools and printing capabilities are provided and gaining technical facility with these tools is an important goal. As this is an AHS foundation course, students will also have an opportunity to further develop written communication skills and critical thinking ability. We will consider the many interpretations of art and the visual communication of ideas. The work of contemporary fine art photographers will be studied in depth and trips to museum and gallery exhibits will be scheduled as appropriate as will field trips with the class to capture images in interesting locations. Students with no prior experience with photography are strongly encouraged to enroll in this course and are as welcome as those who have already discovered a passion for creative expression using photography.<br /><br />",,,4 AHSE,,,,,,,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,The Human Connection: Tools and Concepts from Anthropology for Understanding Today's World,AHSE1145,"The book Wired to Care opens with the story of a designer who disguised herself as an elderly person to better understand the experiences of the elderly in our society. Author Dev Patnaik explains his interest in this experiment. It comes down to empathy: All of this is to reclaim a very old idea, that quantitative data and facts are no substitute for real-world experience and human connection. Anthropologists have long-argued for the importance of putting oneself in other people shoes for better understanding. The anthropologist Bronislaw Malinowski wrote in 1922 that the goal of the anthropologist is ""to grasp the native's point of view, his relation to life, to realize his vision of his world."" In this course, students will try out the anthropological methods of participation, observation, interviews, and analysis of cultural materials and texts. This is a hands-on course for students who want to get out and meet people all with the aim of greater understanding. The course focuses on three thematic topics important to our society in the twenty-first century. Past offerings have focused on aging, religion, health, and globalization. The class includes assignments, events, and interactions that will take students off campus (perhaps to the Needham Senior Center, local coffee shops, and to Boston's ethnic neighborhoods) and will include visitors from area institutions.",,,4 AHSE,,,,,,,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,Dirt to Shirt: Global Garments in Context,AHSE1148,"This course is an intensive study of the global supply chain for clothing. It examines social, economic, political, environmental, and technological issues all along the supply chain. This includes historical and contemporary production of components such as cotton, wool, and Kevlar; textile processing and garment production; and the after-life of the clothes we dispose of. The class will include readings, discussions, and engagement with multimedia sources; first-person contact with local people involved in the industry; and student projects on a chosen node of the supply chain. The course is multidisciplinary, but centered in cultural anthropology. In anthropology, empathy is a means to understanding, and a central premise of the course is the need to develop empathy. This class takes an empathetic approach to people and activities all along the global garments supply chain.<br /><br />",,,4 AHSE,,,,,,,
AHSE,Arts Hum Soc Sci Entrepr,"What is ""I""?",AHSE1150,"This interdisciplinary exploration of identity draws on a diverse range of genres in the Humanities, Social Sciences, Arts and Sciences. Prior offerings have drawn from Anthropology, Artificial Intelligence, Biology, Film, History, Literature, Memoir, Neuroscience, Philosophy, Psychology, Political Science, Science Fiction, Sociology, and Visual Arts.<br /><br /><br /><br />Our goal is to understand how individual perspective (or the illusion of same) comes into being and how our own unique perspectives shape the way that we see the world. Emphasis is placed on communication and context.<br /><br /><br /><br />This course focuses more on philosophy and artificial intelligence while AHSE 1155: Identity from the Mind and the Brain is more focused on the science of psychology and neuroscience.<br /><br /><br /><br />",,,4 AHSE,,,,,,,4-0-8
AHSE,Arts Hum Soc Sci Entrepr,Identity from the Mind & the Brain: Who Am I and How Do I Know,AHSE1155,"Perhaps the most fundamental question any developing individual asks himself/herself is: Who am I? The ways we answer this question have evolved over the course of history as the dominant ways of knowing (epistemologies) have shifted. Indeed, the question of how we come to know ourselves has captivated Western scholars since the days of Descartes, but a look at the last fifty to sixty years has also seen enormous changes. Many people invoke psychological and philosophical perspectives in describing their identity, focusing on their personality, their developmental history, and their place in society. But the explosion of neurobiological research has introduced a new and viable outlook: explaining identity at the chemical and electrical level of the brain. There is good reason to think that these different perspectives on identity are mutually exclusive and this tension will underlie everything we discuss in this interdisciplinary course. Indeed, when it comes to a topic as fundamental to human existence as identity, it is absolutely essential to wonder not only ""who am I?"" but to also ask ""how do I know?"" In this course, we will approach the question of identity from multiple perspectives, including psychology, postmodern philosophy, and neuroscience. In the process, we will critically examine not only the conception of identity that each perspective supports, but also the assumptions and limitations of each epistemology. This course focuses more on the science of psychology and neuroscience, while AHSE 1150: What Is ""I""? is more focused on philosophy and artificial intelligence.",,,4 AHSE,,,,,,,4-0-8
