,Course Code,Name,Req,Credits,Begin Date,End Date,Instructor,M,T,W,R,F,start_time,end_time,location
1,AHSE0112-01,The Olin Conductorless Orchestra,,1,2020-01-22,2020-05-01,"Dabby, Diana",0,1,0,0,0,19:30:00,21:00:00,"MAIN Campus, Academic Center, AC318-Classroom"
2,AHSE0112-01,The Olin Conductorless Orchestra,,1,2020-01-22,2020-05-01,"Dabby, Diana",0,0,0,1,0,18:30:00,20:00:00,"MAIN Campus, Academic Center, AC318-Classroom"
3,AHSE1515-01,Products and Markets,,4,2020-01-22,2020-05-01,"Chachra, Debbie",1,0,0,1,0,13:30:00,16:10:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
4,AHSE1515-01,Products and Markets,,4,2020-01-22,2020-05-01,"Lynch, Caitrin",1,0,0,1,0,13:30:00,16:10:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
5,AHSE1515-01,Products and Markets,,4,2020-01-22,2020-05-01,"Pratt, Joanne",1,0,0,1,0,13:30:00,16:10:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
6,AHSE1515-01,Products and Markets,,4,2020-01-22,2020-05-01,"Woodard, Charles Jason",1,0,0,1,0,13:30:00,16:10:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
7,AHSE1515-01,Products and Markets,,4,2020-01-22,2020-05-01,"Chachra, Debbie",1,0,0,1,0,13:30:00,16:10:00,"MAIN Campus, Academic Center, AC318-Classroom"
8,AHSE1515-01,Products and Markets,,4,2020-01-22,2020-05-01,"Chachra, Debbie",1,0,0,1,0,13:30:00,16:10:00,"MAIN Campus, Academic Center, AC326-Classroom"
9,AHSE1515-01,Products and Markets,,4,2020-01-22,2020-05-01,"Chachra, Debbie",1,0,0,1,0,13:30:00,16:10:00,"MAIN Campus, Academic Center, AC328-Classroom"
10,AHSE2131-01,Responsive Drawing and Visual Thinking,,4,2020-01-22,2020-05-01,"Donis-Keller, Helen",0,1,0,0,1,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC313-Art"
11,AHSE2150-01,Six Microbes that Changed the World with Laboratory,,4,2020-01-22,2020-05-01,"Martello, Robert",0,1,0,0,1,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC417-Classroom"
12,AHSE2150-01,Six Microbes that Changed the World with Laboratory,,4,2020-01-22,2020-05-01,"Huang, Jean",0,1,0,0,1,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC406-Biology Lab"
13,AHSE2199-01,"Special Topics in Arts, Humanities and Social Science : Change the World:Personal Values",,4,2020-01-22,2020-05-01,"Martello, Robert",0,1,0,0,1,13:30:00,15:10:00,"MAIN Campus, Academic Center, AC417-Classroom"
14,AHSE2199-01,"Special Topics in Arts, Humanities and Social Science : Change the World:Personal Values",,4,2020-01-22,2020-05-01,"Wood, Alison",0,1,0,0,1,13:30:00,15:10:00,"MAIN Campus, Academic Center, AC417-Classroom"
15,AHSE2199A-01,"Special Topics in Arts, Humanities and Social Science : Identity from Mind and Brain,Adv",,4,2020-01-22,2020-05-01,"Adler, Jonathan",1,0,0,1,0,13:30:00,15:10:00,"MAIN Campus, Academic Center, AC128-ProjLab Multi Medi"
16,AHSE2515-01,Iterate,,2,2020-01-22,2020-05-01,"Zamir, Lee",0,1,0,0,0,15:20:00,18:00:00,"MAIN Campus, Academic Center, AC318-Classroom"
17,AHSE2515A-01,Iterate,,2,2020-01-22,2020-05-01,"Zamir, Lee",0,1,0,0,0,15:20:00,18:00:00,"MAIN Campus, Academic Center, AC318-Classroom"
18,AHSE2599-01,Special Topics in Business and Entrepreneurship : Environmental Consulting at Olin,,4,2020-01-22,2020-05-01,"Lynch, Caitrin",0,1,0,0,0,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC213-Design Studio"
19,AHSE2599-01,Special Topics in Business and Entrepreneurship : Environmental Consulting at Olin,,4,2020-01-22,2020-05-01,"Nugent, Carolyn",0,1,0,0,0,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC213-Design Studio"
20,AHSE2599-01,Special Topics in Business and Entrepreneurship : Environmental Consulting at Olin,,4,2020-01-22,2020-05-01,"Lynch, Caitrin",0,0,0,0,1,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC213-Design Studio"
21,AHSE2599-01,Special Topics in Business and Entrepreneurship : Environmental Consulting at Olin,,4,2020-01-22,2020-05-01,"Nugent, Carolyn",0,0,0,0,1,09:00:00,12:30:00,"MAIN Campus, Academic Center, AC213-Design Studio"
22,AHSE3190-01,Arts Humanities Social Sciences Capstone Preparatory Workshop,,1,2020-01-22,2020-05-01,"Epstein, Gillian",0,0,0,0,0,01:00:00,01:00:00,"Campus, Building"
23,AHSE4190-01,Arts Humanities Social Sciences Capstone Project,,4,2020-01-22,2020-05-01,"Epstein, Gillian",1,0,0,0,0,09:00:00,12:30:00,"MAIN Campus, Milas Hall, Library"
24,AWAY1000-01,Study Away Program,,12,2020-01-22,2020-05-01,Staff,0,0,0,0,0,01:00:00,01:00:00,"MAIN Campus, Olin Campus"
25,ENGR1330-01,Fundamentals of Machine Shop Operations,,4,2020-01-22,2020-05-01,"Andruskiewicz, Bruce",0,0,1,0,0,13:00:00,17:00:00,"MAIN Campus, Academic Center, AC104-Machine Shop"
26,ENGR2199-01,Special Topics in Engineering : Engineering Systems Analysis,,2,2020-01-22,2020-05-01,"Dabby, Diana",0,1,0,0,1,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC328-Classroom"
27,ENGR2199-01,Special Topics in Engineering : Engineering Systems Analysis,,2,2020-01-22,2020-05-01,"Govindasamy, Siddhartan",0,1,0,0,1,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC328-Classroom"
28,ENGR2199-01,Special Topics in Engineering : Engineering Systems Analysis,,2,2020-01-22,2020-05-01,"Lee, Christopher",0,1,0,0,1,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC328-Classroom"
29,ENGR2199A-01,Special Topics in Engineering : Eng Sys Analysis: Dynamics,,2,2020-01-22,2020-05-01,"Dabby, Diana",0,1,0,0,1,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC328-Classroom"
30,ENGR2199A-01,Special Topics in Engineering : Eng Sys Analysis: Dynamics,,2,2020-01-22,2020-05-01,"Govindasamy, Siddhartan",0,1,0,0,1,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC328-Classroom"
31,ENGR2199A-01,Special Topics in Engineering : Eng Sys Analysis: Dynamics,,2,2020-01-22,2020-05-01,"Lee, Christopher",0,1,0,0,1,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC328-Classroom"
32,ENGR2199B-01,Special Topics in Engineering : Eng Sys Analysis: Signals,,2,2020-01-22,2020-05-01,"Dabby, Diana",0,1,0,0,1,13:30:00,15:10:00,"MAIN Campus, Academic Center, AC304-Classroom/ECE Lab"
33,ENGR2199B-01,Special Topics in Engineering : Eng Sys Analysis: Signals,,2,2020-01-22,2020-05-01,"Govindasamy, Siddhartan",0,1,0,0,1,13:30:00,15:10:00,"MAIN Campus, Academic Center, AC304-Classroom/ECE Lab"
34,ENGR2199B-01,Special Topics in Engineering : Eng Sys Analysis: Signals,,2,2020-01-22,2020-05-01,"Lee, Christopher",0,1,0,0,1,13:30:00,15:10:00,"MAIN Campus, Academic Center, AC304-Classroom/ECE Lab"
35,ENGR2250-01,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Adler, Jonathan",1,0,0,1,0,09:50:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
36,ENGR2250-01,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Bloomer, Sarah",1,0,0,1,0,09:50:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
37,ENGR2250-01,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Hendren, Sara",1,0,0,1,0,09:50:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
38,ENGR2250-01,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Sauder, Tim Ferguson",1,0,0,1,0,09:50:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
39,ENGR2250-01,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Wood, Alison",1,0,0,1,0,09:50:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
40,ENGR2250-01,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Zastavker, Yevgeniya",1,0,0,1,0,09:50:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
41,ENGR2250-01,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Adler, Jonathan",1,0,0,1,0,09:50:00,12:30:00,"MAIN Campus, Academic Center, AC204-Design Studio"
42,ENGR2250-02,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Adler, Jonathan",1,0,0,1,0,09:30:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
43,ENGR2250-02,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Hendren, Sara",1,0,0,1,0,09:30:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
44,ENGR2250-02,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Bloomer, Sarah",1,0,0,1,0,09:30:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
45,ENGR2250-02,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Sauder, Tim Ferguson",1,0,0,1,0,09:30:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
46,ENGR2250-02,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Wood, Alison",1,0,0,1,0,09:30:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
47,ENGR2250-02,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Zastavker, Yevgeniya",1,0,0,1,0,09:30:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
48,ENGR2250-02,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Adler, Jonathan",1,0,0,1,0,09:30:00,12:30:00,"MAIN Campus, Academic Center, AC206-Design Studio"
49,ENGR2250-03,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Adler, Jonathan",1,0,0,1,0,09:30:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
50,ENGR2250-03,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Bloomer, Sarah",1,0,0,1,0,09:30:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
51,ENGR2250-03,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Hendren, Sara",1,0,0,1,0,09:30:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
52,ENGR2250-03,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Sauder, Tim Ferguson",1,0,0,1,0,09:30:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
53,ENGR2250-03,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Wood, Alison",1,0,0,1,0,09:30:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
54,ENGR2250-03,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Zastavker, Yevgeniya",1,0,0,1,0,09:30:00,12:30:00,"MAIN Campus, Milas Hall, MH120-Auditorium"
55,ENGR2250-03,User-Oriented Collaborative Design,,4,2020-01-22,2020-05-01,"Adler, Jonathan",1,0,0,1,0,09:30:00,12:30:00,"MAIN Campus, Academic Center, AC209-Design Studio"
56,ENGR2320-01,Mechanics of Solids & Structures,,4,2020-01-22,2020-05-01,"Tow, Emily",0,1,0,0,1,09:00:00,10:40:00,"MAIN Campus, Academic Center, AC328-Classroom"
57,ENGR2320-01,Mechanics of Solids & Structures,,4,2020-01-22,2020-05-01,"Tow, Emily",0,0,1,0,0,09:00:00,10:00:00,"MAIN Campus, Academic Center, AC328-Classroom"
58,ENGR2330-01,Introduction to Mechanical Prototyping,,4,2020-01-22,2020-05-01,"Faas, Daniela",0,1,0,0,1,13:30:00,15:10:00,"MAIN Campus, Academic Center, AC128-ProjLab Multi Medi"
59,ENGR2350-01,Thermodynamics,,4,2020-01-22,2020-05-01,"Ferzoco, Alessandra",0,1,0,0,1,13:30:00,15:10:00,"MAIN Campus, Academic Center, AC309-Classroom"
60,ENGR2420-01,Intro Microelectronic Circuits with laboratory,,4,2020-01-22,2020-05-01,"Minch, Bradley",0,1,0,0,1,09:00:00,10:40:00,"MAIN Campus, Academic Center, AC309-Classroom"
61,ENGR2420-01,Intro Microelectronic Circuits with laboratory,,4,2020-01-22,2020-05-01,"Minch, Bradley",0,0,1,0,0,13:00:00,14:30:00,"MAIN Campus, Academic Center, AC309-Classroom"
62,ENGR2510-01,Software Design,,4,2020-01-22,2020-05-01,"Millner, Amon",0,1,0,0,1,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC318-Classroom"
63,ENGR2510-01,Software Design,,4,2020-01-22,2020-05-01,"Graeff, Erhardt",0,1,0,0,1,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC318-Classroom"
64,ENGR2510-01,Software Design,,4,2020-01-22,2020-05-01,"Matsumoto, Stephanos",0,1,0,0,1,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC318-Classroom"
65,ENGR2510-01,Software Design,,4,2020-01-22,2020-05-01,"Millner, Amon",0,1,0,0,1,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC326-Classroom"
66,ENGR3110-01,Elecanisms,,4,2020-01-22,2020-05-01,"Hoover, Aaron",1,0,0,0,0,15:20:00,17:00:00,"MAIN Campus, Academic Center, AC306-Lab/ClassRm-Bnchs"
67,ENGR3110-01,Elecanisms,,4,2020-01-22,2020-05-01,"Minch, Bradley",1,0,0,0,0,15:20:00,17:00:00,"MAIN Campus, Academic Center, AC306-Lab/ClassRm-Bnchs"
68,ENGR3110-01,Elecanisms,,4,2020-01-22,2020-05-01,"Hoover, Aaron",0,0,0,1,0,15:20:00,18:00:00,"MAIN Campus, Academic Center, AC306-Lab/ClassRm-Bnchs"
69,ENGR3199-01,Special Topics in Engineering : Satel Sys & Consulting Bus Prac,,4,2020-01-22,2020-05-01,"Lohmeyer, Whitney",0,0,1,0,0,15:20:00,18:00:00,"MAIN Campus, Academic Center, AC318-Classroom"
70,ENGR3235-01,Biomimicry,,4,2020-01-22,2020-05-01,"Huang, Jean",1,0,0,1,0,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC213-Design Studio"
71,ENGR3235-01,Biomimicry,,4,2020-01-22,2020-05-01,"Linder, Benjamin",1,0,0,1,0,10:50:00,12:30:00,"MAIN Campus, Academic Center, AC213-Design Studio"
72,ENGR3290-01,Affordable Design and Entrepreneurship,,4,2020-01-22,2020-05-01,"Linder, Benjamin",0,1,0,0,0,15:30:00,18:30:00,"MAIN Campus, Babson College Campus, Weissman Foundry"
73,ENGR3290-01,Affordable Design and Entrepreneurship,,4,2020-01-22,2020-05-01,"Graeff, Erhardt",0,1,0,0,0,15:30:00,18:30:00,"MAIN Campus, Babson College Campus, Weissman Foundry"
74,ENGR3290-01,Affordable Design and Entrepreneurship,,4,2020-01-22,2020-05-01,"Hersey, Scott Oakley",0,1,0,0,0,15:30:00,18:30:00,"MAIN Campus, Babson College Campus, Weissman Foundry"
75,ENGR3290-01,Affordable Design and Entrepreneurship,,4,2020-01-22,2020-05-01,"Taha, Kofi",0,1,0,0,0,15:30:00,18:30:00,"MAIN Campus, Babson College Campus, Weissman Foundry"
